Name,Type,Hours,Accessible,Lat,Long
Clinton Cards,stationery,,,55.9813666,-3.1776197
BHS,department_store,,yes,55.9802720,-3.1790530
Charlie Miller,hairdresser,,yes,55.9816500,-3.1768879
Crew Clothing,clothes,,yes,55.9814284,-3.1767485
Boots,chemist,,,55.9812130,-3.1779034
Waterstones,books,,yes,55.9815168,-3.1763960
The Whisky Shop,alcohol,,yes,55.9813540,-3.1774530
French Connection,clothes,,,55.9812870,-3.1770096
GAP,clothes,,yes,55.9804569,-3.1783537
H&M,clothes,,yes,55.9801520,-3.1788650
Thomson,travel_agency,,,55.9810594,-3.1781872
GAME,computer,,yes,55.9813401,-3.1767223
The Village Shop,convenience,,,55.9217298,-3.3820660
Newsagent,convenience,,,55.9215229,-3.3807852
Crombie & Co,estate_agent,,,55.9591843,-3.2153031
Tesco Express,supermarket,Mo-Su 06:00-00:00,,55.9569888,-3.1872260
News Express,convenience,,,55.9775592,-3.1974672
Sobo Hair & Skincare Boutique,hairdresser,Mo 10:00-17:00; Tu-We 10:00-18:00;Th 09:00-19:00; Fr 09:00-18:00; Sa 09:00-17:00,,55.9775172,-3.1974519
Louis Vuitton,clothes,Mo-We 10:00-18:00; Th 10:00-19:00; Fr-Sa 10:00-18:00; Su 12:00-18:00,,55.9551214,-3.1921746
Central Superstore,convenience,,,55.9477277,-3.1937113
Egg,hairdresser,Tu-Th 10:00-20:00; Fr 09:00-18:00; Sa 09:00-17:00; Su 10:00-18:00,,55.9570229,-3.1878765
Real Foods,convenience,,,55.9572779,-3.1881262
Something Fishy,seafood,,,55.9571434,-3.1884895
lifestyle express,convenience,,,55.9572209,-3.1885728
Angela Jane,hairdresser,,,55.9733492,-3.2151658
Goodfillas,deli,,,55.9733149,-3.2151560
KeyStore,convenience,,,55.9732120,-3.2151263
Hirsute,hairdresser,,,55.9588158,-3.1719907
Lochend Newsagent,newsagent,,,55.9616095,-3.1583532
Launderette,laundry,,,55.9571279,-3.1697209
Edinburgh Towbars - Indespension,car_repair,,,55.9558966,-3.1602446
Pretty Woman,clothes,,,55.9573366,-3.1670675
Qwik Lube,car_repair,Mo-Fr 08:00-18:00; Sa 08:00-17:00,,55.9561232,-3.1673156
M.S. Newsagent,convenience,,,55.9385807,-3.1742602
M&S Simply Food,convenience,"Mo-Sa 07:00-22:00; Th,Fr 07:00-23:00; Su 08:00-22:00",,55.9523620,-3.1888390
I J Mellis,cheese,,,55.9273197,-3.2095236
